                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1328,                0.75104,                0.87745,                0.99041,                0.99678,                  0.995,                 0.5864,                 1.4511,                0.77273,                0.99207,              0.0002377,              0.0002377,              0.0002377
                     79,                  1.094,                0.71759,                 0.8844,                0.98942,                0.99571,                  0.995,                0.59698,                 1.4284,                0.76362,                0.99061,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.0996,                0.74318,                0.89323,                0.99034,                0.99578,                  0.995,                0.59504,                 1.4041,                0.76117,                0.98489,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.0686,                0.73854,                 0.8747,                0.99075,                0.99583,                  0.995,                0.59932,                 1.4116,                0.76974,                0.98741,               0.000208,               0.000208,               0.000208
                     82,                 1.0968,                0.71329,                0.87701,                0.99091,                0.99562,                  0.995,                0.59264,                 1.4185,                0.77174,                0.98788,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.1152,                0.73652,                0.87394,                0.99228,                0.99258,                  0.995,                0.59252,                 1.4148,                0.77003,                 0.9839,              0.0001882,              0.0001882,              0.0001882
                     84,                  1.084,                0.71856,                0.86028,                 0.9931,                0.99097,                  0.995,                0.60026,                 1.4152,                0.76594,                0.98357,              0.0001783,              0.0001783,              0.0001783
                     85,                  1.094,                0.75493,                0.87375,                0.99223,                0.99184,                  0.995,                 0.5959,                 1.3988,                0.76522,                0.97651,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.0783,                0.71191,                0.87442,                0.99166,                 0.9927,                  0.995,                0.59585,                 1.4059,                0.76671,                 0.9776,              0.0001585,              0.0001585,              0.0001585
                     87,                  1.122,                0.75086,                0.87736,                0.99225,                 0.9921,                  0.995,                0.59615,                 1.4089,                0.76367,                0.97698,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.1296,                0.73163,                 0.9045,                0.99281,                0.99089,                  0.995,                0.59655,                 1.4269,                0.75999,                0.98281,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.0739,                0.70668,                0.87736,                0.99061,                0.99374,                  0.995,                0.59524,                 1.4395,                0.75574,                0.98862,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.0932,                0.73877,                0.87327,                0.99021,                0.99609,                  0.995,                0.59978,                 1.4461,                0.75051,                 0.9925,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.0969,                0.82271,                 0.8776,                0.99121,                0.99526,                  0.995,                0.59747,                 1.4579,                0.75001,                0.99821,               0.000109,               0.000109,               0.000109
                     92,                 1.0699,                0.77447,                 0.8978,                0.99305,                0.99323,                  0.995,                0.58346,                 1.4764,                0.75255,                 1.0063,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.0679,                0.75404,                0.90362,                0.99214,                0.99421,                  0.995,                0.57396,                 1.5029,                0.75768,                 1.0166,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.0904,                0.75658,                0.89355,                0.99091,                0.99523,                  0.995,                0.56859,                 1.5113,                0.76027,                 1.0176,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.0799,                0.74822,                 0.8997,                 0.9925,                0.99321,                  0.995,                0.57426,                 1.4951,                0.75779,                 1.0077,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.0903,                0.75742,                0.88093,                0.99175,                0.99413,                  0.995,                0.57776,                 1.4801,                 0.7594,                0.99693,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.0405,                0.72178,                0.90195,                0.99146,                0.99538,                  0.995,                0.57795,                 1.4713,                0.75724,                0.99048,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.0678,                0.71283,                0.90885,                 0.9919,                 0.9964,                  0.995,                0.58254,                  1.463,                0.75596,                0.98689,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.0406,                0.73959,                 0.8807,                0.99228,                0.99728,                  0.995,                0.58502,                 1.4582,                0.75417,                0.98508,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.0406,                0.74153,                0.89469,                0.99216,                0.99855,                  0.995,                0.58699,                 1.4547,                0.75296,                0.98446,               1.99e-05,               1.99e-05,               1.99e-05
